Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
50,JGH,https://www.tradingview.com/symbols/JGH/,True,False,UPTREND,6,12.68,12.94,11.52,-2.0,1.04,8.4,1.0,Financial Services,Asset Management,356635616,,,,10.7,,,2.1,5,2.6,3.9
51,NXDT,https://www.tradingview.com/symbols/NXDT/,True,True,STRONG UPTREND,8,5.25,5.61,3.46,-6.4,0.8,45.2,1.0,Real Estate,REIT - Diversified,271549824,-20.4,,-143.5,,,,4.6,2,2.0,3.8
52,RMMZ,https://www.tradingview.com/symbols/RMMZ/,True,False,UPTREND,6,15.0,15.13,13.91,-0.9,0.92,9.4,1.0,Financial Services,Asset Management,126825000,,,,187.5,,,1.1,5,2.3,3.8
53,FFA,https://www.tradingview.com/symbols/FFA/,True,False,UPTREND,6,22.58,22.84,19.17,-1.1,0.86,16.5,1.0,Financial Services,Asset Management,451330976,-5.1,111.8,1236.3,5.6,,,0.1,5,2.1,3.8
54,NMAI,https://www.tradingview.com/symbols/NMAI/,True,False,UPTREND,6,13.98,14.26,11.69,-2.0,0.95,22.4,1.0,Financial Services,Asset Management,467290528,,,,5.8,,,0.2,5,2.4,3.8
55,OPP,https://www.tradingview.com/symbols/OPP/,True,False,UPTREND,6,7.7,7.75,7.23,-0.7,0.97,6.4,1.0,Financial Services,Asset Management,192424016,,,,7.7,,,0.4,5,2.4,3.8
56,NAN,https://www.tradingview.com/symbols/NAN/,True,False,UPTREND,6,11.68,11.8,10.75,-1.0,0.91,10.2,1.0,Financial Services,Asset Management,385056320,-1.9,2741.8,41.2,32.4,,,3.8,5,2.3,3.8
57,HPI,https://www.tradingview.com/symbols/HPI/,True,False,UPTREND,6,16.32,16.52,14.91,-1.2,0.77,8.7,1.0,Financial Services,Asset Management,437247872,1.2,-9.3,72.5,12.7,,,2.6,5,1.9,3.7
58,ETB,https://www.tradingview.com/symbols/ETB/,True,False,UPTREND,6,15.58,15.62,13.58,-0.3,0.76,9.8,1.0,Financial Services,Asset Management,457658080,-10.2,48.9,972.8,7.6,,,0.3,5,1.9,3.7
59,HPF,https://www.tradingview.com/symbols/HPF/,True,False,UPTREND,6,16.02,16.14,14.72,-0.8,0.74,6.3,1.0,Financial Services,Asset Management,346846272,1.3,-7.3,72.9,12.3,,,3.0,5,1.9,3.7
60,JCE,https://www.tradingview.com/symbols/JCE/,True,False,UPTREND,6,16.44,16.57,13.68,-0.8,0.72,18.0,1.0,Financial Services,Asset Management,279524032,,,,6.1,,,0.3,5,1.8,3.7
61,NCV,https://www.tradingview.com/symbols/NCV/,True,False,UPTREND,6,17.25,17.65,14.12,-2.3,0.71,34.1,1.0,Financial Services,Asset Management,389736000,-10.5,34.0,351.1,4.6,,,0.9,5,1.8,3.7
62,JRS,https://www.tradingview.com/symbols/JRS/,True,False,UPTREND,6,8.57,8.75,6.96,-2.1,1.04,27.2,1.0,Financial Services,Asset Management,247608480,28.1,-75.7,-31.6,,,,0.5,4,2.6,3.7
63,RFMZ,https://www.tradingview.com/symbols/RFMZ/,True,False,UPTREND,6,13.6,13.7,12.08,-0.7,0.65,15.6,1.0,Financial Services,Asset Management,331183904,,,,226.7,,,1.4,5,1.6,3.7
64,HEQ,https://www.tradingview.com/symbols/HEQ/,True,False,UPTREND,6,11.42,11.67,10.27,-2.1,0.57,19.3,1.0,Financial Services,Asset Management,138110656,,,,7.3,,,0.3,5,1.4,3.6
