Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
371,RCUS,https://www.tradingview.com/symbols/RCUS/,True,True,STRONG UPTREND,8,28.62,31.74,18.51,-9.8,1.04,75.3,1.5,Healthcare,Biotechnology,3599628032,-74.4,,,,-9.2,1.46,8.2,4,2.6,4.5
372,BKU,https://www.tradingview.com/symbols/BKU/,True,True,STRONG UPTREND,8,46.46,50.65,41.37,-8.3,0.55,8.9,1.0,Financial Services,Banks - Regional,3357967360,4.2,6.7,26.2,12.8,10.4,2.55,2.8,6,1.4,4.5
373,BBAR,https://www.tradingview.com/symbols/BBAR/,True,True,STRONG UPTREND,8,17.11,22.29,12.48,-23.2,0.76,68.1,1.4,Financial Services,Banks - Regional,3494489856,0.8,-24.6,7.1,16.6,14.4,1.5,2.7,5,1.9,4.5
374,GEV,https://www.tradingview.com/symbols/GEV/,True,False,UPTREND,6,990.32,1195.94,770.15,-17.2,0.67,52.0,1.0,Industrials,Specialty Industrial Machinery,263755481088,21.9,32.8,23.0,28.4,39.9,1.58,3.4,9,1.7,4.5
375,TAC,https://www.tradingview.com/symbols/TAC/,True,True,STRONG UPTREND,8,12.43,14.85,11.38,-16.3,0.99,7.2,1.0,Utilities,Utilities - Independent Power Producers,3931609088,12.5,,-1.0,,31.3,1.82,4.3,5,2.5,4.5
376,COHR,https://www.tradingview.com/symbols/COHR/,True,False,UPTREND,6,379.13,440.0,204.57,-13.8,1.29,74.2,1.5,Technology,Scientific & Technical Instruments,74172735488,20.5,,7.1,179.7,45.3,1.67,1.6,7,3.2,4.5
377,SNDA,https://www.tradingview.com/symbols/SNDA/,True,True,STRONG UPTREND,8,40.3,44.39,30.65,-9.2,0.56,38.6,1.0,Healthcare,Medical Care Facilities,1908054144,38.5,,-27.1,,-91.6,2.2,3.1,6,1.4,4.5
378,OII,https://www.tradingview.com/symbols/OII/,True,True,STRONG UPTREND,8,47.97,53.98,31.56,-11.1,0.73,59.8,1.2,Energy,Oil & Gas Equipment & Services,4774437376,10.0,20.4,12.2,13.9,21.1,3.25,5.3,5,1.8,4.5
379,NNN,https://www.tradingview.com/symbols/NNN/,True,True,STRONG UPTREND,8,46.84,49.36,40.53,-5.1,0.79,25.4,1.0,Real Estate,REIT - Retail,8911224832,7.7,-3.5,40.4,23.1,22.3,2.94,4.3,5,2.0,4.4
380,VMI,https://www.tradingview.com/symbols/VMI/,True,True,STRONG UPTREND,8,493.64,584.94,378.78,-15.6,0.68,53.3,1.1,Industrials,Conglomerates,9529650176,6.5,,11.7,19.3,19.1,,1.9,5,1.7,4.4
381,HGV,https://www.tradingview.com/symbols/HGV/,True,True,STRONG UPTREND,8,45.66,55.4,37.46,-17.6,1.03,34.0,1.0,Consumer Cyclical,Resorts & Casinos,3548884480,6.2,-40.0,3.2,25.9,8.0,2.3,4.5,4,2.6,4.4
382,PSO,https://www.tradingview.com/symbols/PSO/,True,True,STRONG UPTREND,8,16.46,17.75,11.82,-7.3,0.89,71.8,1.4,Communication Services,Publishing,9903292416,3.3,-2.9,8.8,24.6,16.8,3.5,3.7,4,2.2,4.4
383,UDR,https://www.tradingview.com/symbols/UDR/,True,True,STRONG UPTREND,8,38.41,41.85,32.95,-8.2,0.76,24.8,1.0,Real Estate,REIT - Residential,14110459904,-0.1,90.9,29.6,24.3,68.6,2.36,3.0,5,1.9,4.4
384,BEP,https://www.tradingview.com/symbols/BEP/,True,True,STRONG UPTREND,8,33.2,38.12,28.94,-12.9,1.03,21.1,1.0,Utilities,Utilities - Renewable,16150819840,1.1,,-1.3,,-18.6,2.38,1.3,4,2.6,4.4
385,D,https://www.tradingview.com/symbols/D/,True,True,STRONG UPTREND,8,67.39,72.99,58.5,-7.7,0.63,31.3,1.0,Utilities,Utilities - Regulated Electric,59271254016,17.6,-58.0,14.0,23.3,17.7,2.81,4.3,5,1.6,4.4
386,AZZ,https://www.tradingview.com/symbols/AZZ/,True,True,STRONG UPTREND,8,150.92,161.93,118.05,-6.8,0.66,37.8,1.0,Industrials,Specialty Business Services,4535372288,6.3,-69.6,11.8,23.0,19.3,1.8,2.6,5,1.7,4.4
387,AVAL,https://www.tradingview.com/symbols/AVAL/,True,True,STRONG UPTREND,8,5.06,6.17,3.3,-17.9,0.56,54.1,1.1,Financial Services,Banks - Regional,6007099392,19.0,-6.9,12.1,11.8,9.1,,0.8,5,1.4,4.4
388,EQR,https://www.tradingview.com/symbols/EQR/,True,True,STRONG UPTREND,8,67.07,71.5,56.3,-6.2,0.71,31.6,1.0,Real Estate,REIT - Residential,25929816064,2.1,-39.9,28.0,29.2,43.3,2.35,3.4,5,1.8,4.4
